authorId,name,url
153842238,C. Suárez,
147628219,M. Villarreal,
134288768,L. Castelblanco,
134908517,Zachary R. Trail,
3795806,M. Scordino,
13096698,F. Lazzaro,
40257059,Marco A. Borzì,
3551668,L. Sabatino,
5212918,P. Traulo,
48362658,G. Gagliano,
31336833,Phat Tan Lam,
34308839,Tan Quang Le,
34731773,N. N. Le,
31084553,D. Nguyen,
2393465488,Wenwei Yang,
36359718,Qingzhao Kong,
143695596,S. Ho,
145353863,Y. Mo,
1815327,G. Song,
70075896,B. Trisakti,
69961584,A. Julzarika,
107955168,U. C. Nugroho,
2082567713,D. Yudhatama,
108032359,Yudi Lasmana,
151234435,Tenezaca Medina,
120177438,J. Alfredo,
41031283,D. Cillis,
1895493968,Allen P. Deutz,
5445035,D. Kolady,
2055550072,Xiaobo Min,
2066342035,Weihong Kuang,
50347052,P. Kelly,
2120560,M. Vanni,
7827289,W. Renwick,
133717668,Beatriz Nathalia Serrato Panqueba,
2069252475,C. C. Medina,
7684334,K. Shruthi,
69475447,G. Hiremath,
104509700,Amrutha T. Joshi,
2118183861,Xu Chen,
2113756611,Qian Shi,
2118929101,Lei Yang,
2145754023,Jie Xu,
1767076,P. Nie,
3099401,T. Dong,
87689783,Yong He,
29944578,Shupei Xiao,
38287158,Emma B Garrison,
7994592,Jonathan Dropkin,
2099337800,Rebecca Russell,
10844982,P. Jenkins,
97245635,Betsy Kenaston,
100937987,Christopher Crockett,
2487160,Xingye Zhu,
101758261,P. Chikangaise,
2154041359,Weidong Shi,
31165511,Wen‐Hua Chen,
145403753,S. Yuan,
97674504,M. W. Andure,
145055919,J. Serrano,
5045178,S. Shahidian,
2111422313,José Marques da Silva,
48075649,M. Carvalho,
2895826,J. Behmann,
15968102,Kelvin Acebron,
23621237,D. Emin,
1811955,Simon Bennertz,
6733913,S. Matsubara,
2109772772,Stefan Thomas,
2050188528,David Bohnenkamp,
7022516,M. Kuska,
46619573,J. Jussila,
2077016336,Harri Salo,
2470933,Anne-Katrin Mahlein,
2852289,U. Rascher,
3019830,G. Reina,
2404392,Rocco Galati,
2024268,A. Milella,
1397207814,F. Dell’acqua,
1885445,G. Iannelli,
121199394,Marco A. Torres,
40587128,M. Martina,
90061445,S. Mahmood,
34935924,A. Murdoch,
30054192,R. Dargahi,
6437079,H. Ebrahimzadeh,
145654281,R. Alizadeh,
1478882754,H. Nguyen,
2384980,C. Nansen,
4652214,Sukhvir Kaur,
3136973,Shreelekha Pandey,
48820816,S. Goel,
29777554,M. Vuran,
37785838,Abdul Salam,
30717447,Rigoberto Wong,
2684806,S. Irmak,
1410662668,S. S.ponde,
48422980,S. Lomte,
50427088,D. Houghton,
35606539,Constance M. Brandin,
2065627343,L. Reynolds,
116345880,Lindsey L. Elzinga,
2258435723,Zhihong Zhang,
2259952247,Xiaoyang Wang,
2258463148,Qinghui Lai,
2259890434,Zhaoguo Zhang,
2048730916,Fei Zhang,
2108160550,Xiaoping Wang,
9659307,Hsiang-te Kung,
13312329,V. Johnson,
2234961,P. Šolić,
2271257083,Luigi Patrono,
2271274631,Katarina Vukojevic,
2393122422,Mario Cvetković,
34894591,A. Sciarretta,
4227305,P. Trematerra,
89741699,B. Havrland,
70441179,M. Kavka,
2071081084,M. Růžička,
71227174,H. Yang,
145421673,M. Pineda,
1400932229,M. Pérez-Bueno,
48825003,M. Barón,
2579149,R. Fletcher,
143869811,K. N. Reddy,
148312897,V. Priya,
144474779,D. Ramyachitra,
90728501,G. A. Shitu,
79465340,M. S. Nain,
2144759906,Rashmi Singh,
2334187558,Измайлов А.Ю.,
2334174885,Годжаев З.А.,
2330208073,Сычев В.Г.,
2334062359,Афанасьев Р.А.,
1809322,K. Drira,
2334095586,Черноусько Ф.Л.,
2334109257,Ермолов И.Л.,
35273517,Igor Zecevic,
2271155,Petar Bjeljac,
2249729,B. Perišić,
3077757,S. Stankovski,
9765160,D. Venus,
46652444,G. Ostojić,
2747685,Yousef E. M. Hamouda,
50608166,Jun Jiao,
2056923580,Yan Qiao,
2870807,Wenzhou Wang,
