authorId,name,url,paperCount,citationCount
1722062,C. Stachniss,https://www.semanticscholar.org/author/1722062,458,34326
1695800,P. Zingaretti,https://www.semanticscholar.org/author/1695800,237,3418
144484046,Jaime Lloret,https://www.semanticscholar.org/author/144484046,670,18063
144143750,D. Nardi,https://www.semanticscholar.org/author/144143750,447,15004
34831475,Guijun Yang,https://www.semanticscholar.org/author/34831475,285,11182
2098502,C. Costa,https://www.semanticscholar.org/author/2098502,206,6580
25884999,Nived Chebrolu,https://www.semanticscholar.org/author/25884999,37,1507
143701631,Wen Dong,https://www.semanticscholar.org/author/143701631,33,533
1679246,A. Mancini,https://www.semanticscholar.org/author/1679246,192,3366
1762091,Jiancheng Luo,https://www.semanticscholar.org/author/1762091,137,2189
90475601,J. Ouzman,https://www.semanticscholar.org/author/90475601,26,1181
3196763,R. Maia,https://www.semanticscholar.org/author/3196763,39,993
46676395,Yingwei Sun,https://www.semanticscholar.org/author/46676395,41,1069
31165511,Wen‐Hua Chen,https://www.semanticscholar.org/author/31165511,301,17184
3414541,Philipp Lottes,https://www.semanticscholar.org/author/3414541,22,2759
1733356,Girish V. Chowdhary,https://www.semanticscholar.org/author/1733356,227,7245
1721130,E. Frontoni,https://www.semanticscholar.org/author/1721130,335,6964
40383247,F. Santos,https://www.semanticscholar.org/author/40383247,78,1348
144752161,D. Popescu,https://www.semanticscholar.org/author/144752161,276,2205
1758132,L. Ichim,https://www.semanticscholar.org/author/1758132,201,1602
1969406,C. Kamienski,https://www.semanticscholar.org/author/1969406,125,2249
2678389,R. Bramley,https://www.semanticscholar.org/author/2678389,126,4159
152138567,T. Cheng,https://www.semanticscholar.org/author/152138567,189,6783
4600514,R. Casa,https://www.semanticscholar.org/author/4600514,105,3634
144446984,Alberto Pretto,https://www.semanticscholar.org/author/144446984,75,1777
26351048,Andres Milioto,https://www.semanticscholar.org/author/26351048,31,5585
144700340,M. D. Bah,https://www.semanticscholar.org/author/144700340,9,547
49902497,Yongchao Tian,https://www.semanticscholar.org/author/49902497,261,8597
1822411,A. Hafiane,https://www.semanticscholar.org/author/1822411,94,2995
34775571,R. Canals,https://www.semanticscholar.org/author/34775571,53,1910
37785838,Abdul Salam,https://www.semanticscholar.org/author/37785838,92,2420
1720483,R. Siegwart,https://www.semanticscholar.org/author/1720483,1118,72933
51295084,M. Aboutalebi,https://www.semanticscholar.org/author/51295084,39,628
26560296,Yan Zhu,https://www.semanticscholar.org/author/26560296,406,21020
1979404,W. Cao,https://www.semanticscholar.org/author/1979404,573,21699
1401923045,Alfonso F. Torres-Rua,https://www.semanticscholar.org/author/1401923045,77,1671
38543517,M. McKee,https://www.semanticscholar.org/author/38543517,245,4171
1801018,W. Kustas,https://www.semanticscholar.org/author/1801018,537,33391
9370721,V. Guizilini,https://www.semanticscholar.org/author/9370721,74,3920
20883446,D. Lambert,https://www.semanticscholar.org/author/20883446,299,5441
96176899,B. Erickson,https://www.semanticscholar.org/author/96176899,34,531
1382695760,Giulia Ronchetti,https://www.semanticscholar.org/author/1382695760,11,273
2277817,C. Coopmans,https://www.semanticscholar.org/author/2277817,101,1543
2095013870,Jefferson R. Souza,https://www.semanticscholar.org/author/2095013870,22,563
91711270,I. Yule,https://www.semanticscholar.org/author/91711270,122,2627
144549246,Mohand Tahar Kechadi,https://www.semanticscholar.org/author/144549246,410,6419
3008023,B. Ortuani,https://www.semanticscholar.org/author/3008023,42,659
2690635,G. Sona,https://www.semanticscholar.org/author/2690635,40,963
3363929,P. Menesatti,https://www.semanticscholar.org/author/3363929,175,4980
1402203033,P. Zarco-Tejada,https://www.semanticscholar.org/author/1402203033,280,23770
3180942,A. Facchi,https://www.semanticscholar.org/author/3180942,120,1535
1388632905,Nhien-An Le-Khac,https://www.semanticscholar.org/author/1388632905,256,4878
144907742,Jorge Mendes,https://www.semanticscholar.org/author/144907742,13,369
2055859442,T. George,https://www.semanticscholar.org/author/2055859442,9,67
6922892,R. Lacuesta,https://www.semanticscholar.org/author/6922892,75,786
12160822,A. Toscano,https://www.semanticscholar.org/author/12160822,84,2654
144648192,B. Whelan,https://www.semanticscholar.org/author/144648192,100,4533
1849511,Petra Bosilj,https://www.semanticscholar.org/author/1849511,32,449
1793716,T. Duckett,https://www.semanticscholar.org/author/1793716,182,8084
2763480,Grzegorz Cielniak,https://www.semanticscholar.org/author/2763480,111,2478
2144391789,Zhitao Zhang,https://www.semanticscholar.org/author/2144391789,35,1068
1403901633,D. Hernández-López,https://www.semanticscholar.org/author/1403901633,77,1878
2953237,E. Erten,https://www.semanticscholar.org/author/2953237,101,1322
2108468226,Dharmendra Singh,https://www.semanticscholar.org/author/2108468226,161,2044
2883114,T. S. Cinotti,https://www.semanticscholar.org/author/2883114,90,1908
3233791,Markus Taumberger,https://www.semanticscholar.org/author/3233791,8,496
2267328824,Tian Zhou,https://www.semanticscholar.org/author/2267328824,25,588
40503926,I. Marcu,https://www.semanticscholar.org/author/40503926,50,493
1736971,G. Suciu,https://www.semanticscholar.org/author/1736971,306,2444
49878119,C. Balaceanu,https://www.semanticscholar.org/author/49878119,44,266
98470281,D. Bentivoglio,https://www.semanticscholar.org/author/98470281,55,670
92632865,M. Belletti,https://www.semanticscholar.org/author/92632865,17,162
2830453,Manzoor Razaak,https://www.semanticscholar.org/author/2830453,22,309
2733383,H. Kerdegari,https://www.semanticscholar.org/author/2733383,33,412
