paperId,title,abstract,year,citationCount,influentialCitationCount,doi,url,publicationTypes,venue
14bb7289a39918bc7f0511d1a1f711ce18ee0496,Assessing On-Farm Irrigation Water Use Efficiency in Southern Ontario,,2010,12,2,10.4296/cwrj3502115,https://www.semanticscholar.org/paper/14bb7289a39918bc7f0511d1a1f711ce18ee0496,Review,
311e8edb636278d4b8c8d03010b56cc53f8b2a05,New evaluation method to detect physiological stress in fruit trees by airborne hyperspectral image spectroscopy,"Nowadays airborne remote sensing data are increasingly used in precision agriculture. The fast space-time dependent localization of stresses in orchards, which allows for a more efficient application of horticultural technologies, could lead to improved sustainable precise management. The disadvantage of the near field multi and hyper spectroscopy is the spot sample taking, which can apply independently only for experimental survey in plantations. The traditional satellite images is optionally suitable for precision investigation because of the low spectral and ground resolution on field condition. The presented airborne hyperspectral image spectroscopy reduces above mentioned disadvantages and at the same time provides newer analyzing possibility to the user. In this paper we demonstrate the conditions of data base collection and some informative examination possibility. The estimating of the board band vegetation indices calculated from reflectance is well known in practice of the biomass stress examinations. In this method the N-dimension spectral data cube enables to calculate numerous special narrow band indexes and to evaluate maps. This paper aims at investigating the applied hyperspectral analysis for fruit tree stress detection. In our study, hyperspectral data were collected by an AISA DUAL hyperspectral image spectroscopy system, with high (0,5-1,5 m) ground resolution. The research focused on determining of leaves condition in different fruit plantations in the peach orchard near Siófok. Moreover the spectral reflectance analyses could provide more information about plant condition due to changes in the absorption of incident light in the visible and near infrared range of the spectrum. International Journal of Horticultural Science 2010, 16 (1): 37–40. Agroinform Publishing House, Budapest, Printed in Hungary ISSN 1585-0404",2010,0,0,10.31421/ijhs/16/1/860,https://www.semanticscholar.org/paper/311e8edb636278d4b8c8d03010b56cc53f8b2a05,Review,
c16832dde0ab4a91e54649053d211591c71aea94,The Modeling and Dynamic Simulation of a Spatial Variable-Link-Length Mechanism,,2010,0,0,10.1109/ICCMS.2010.437,https://www.semanticscholar.org/paper/c16832dde0ab4a91e54649053d211591c71aea94,Conference,2010 Second International Conference on Computer Modeling and Simulation
33c834f48f7ef89f275833a7af45c6c6a6747b81,Radiometric Calibration for AgCam,"The student-built Agricultural Camera (AgCam) now onboard the International Space Station observes the Earth surface through two linescan cameras with Charge-Coupled Device (CCD) arrays sensitive to visible and near-infrared wavelengths, respectively. The electro-optical components of the AgCam were characterized using precision calibration equipment; a method for modeling and applying these measurements was derived. Correction coefficients to minimize effects of optical vignetting, CCD non-uniform quantum efficiency, and CCD dark current are separately determined using a least squares fit approach. Application of correction coefficients yields significant variability reduction in flat-field images; comparable results are obtained when applied to ground test images.",2010,45,3,10.3390/RS2020464,https://www.semanticscholar.org/paper/33c834f48f7ef89f275833a7af45c6c6a6747b81,JournalArticle,Remote Sensing
6e54db2c2e22a07bb6c8ca0c9c492eb5a98d33f0,Development of a Sample Preparation Method for the Analysis of Current-Use Pesticides in Sediment Using Gas Chromatography,,2010,16,2,10.1007/s00244-009-9398-4,https://www.semanticscholar.org/paper/6e54db2c2e22a07bb6c8ca0c9c492eb5a98d33f0,JournalArticle,Archives of Environmental Contamination and Toxicology
dfafa54415164d92d671e078c45d94a6ded7d560,Using the Frequency Components of near Infrared Spectra: Optimising Calibration and Standardisation Processes,,2010,5,0,10.1255/jnirs.865,https://www.semanticscholar.org/paper/dfafa54415164d92d671e078c45d94a6ded7d560,JournalArticle,
3f74f6417111a26b295797b44db7800e74e67dd7,"Evaluation of a modified QuEChERS method for the extraction of pesticides from agricultural, ornamental and forestal soils",,2010,142,5,10.1007/s00216-009-3440-2,https://www.semanticscholar.org/paper/3f74f6417111a26b295797b44db7800e74e67dd7,"JournalArticle,Study",Analytical and Bioanalytical Chemistry
31276d9155c9136574fa9100396f968375d2845f,Quantitative determination of recombinant bovine somatotropin in commercial shrimp feed using a competitive enzyme-linked immunosorbent assay.,,2010,3,0,10.1021/jf903349y,https://www.semanticscholar.org/paper/31276d9155c9136574fa9100396f968375d2845f,"JournalArticle,Study",Journal of Agricultural and Food Chemistry
2e09243ca57bc5af34c49f45c7f71d69d9f6f44e,Precision Agriculture and Food Security,,2010,1205,26,10.1126/science.1183899,https://www.semanticscholar.org/paper/2e09243ca57bc5af34c49f45c7f71d69d9f6f44e,JournalArticle,Science
b12f84361189629226ec1fa9e5b254a5001cbbf8,Plenary lecture 5: airborne imaging in the tropical environment: past experience & future prospects,,2010,0,0,,https://www.semanticscholar.org/paper/b12f84361189629226ec1fa9e5b254a5001cbbf8,Review,
